accessaries accessories
antient ancient
certifie certify
cloathing clothing
compleating completing
coyn coin
coyned coined
currant current
Guldeford Guildford
houshold household
kalendar calendar
Liverpoole Liverpool
lunatick lunatic
lunaticks lunatics
melasses molasses 
nusances nuisances
premisses premises
publick public 
recoyned recoined
rescous rescues
sollicitors solicitors
Surry Surrey
uncontrouled uncontrolled
wholsome wholesome

